Key,en,hi,ar,es,fr
A fresh verification link has been sent to your email address.,A fresh verification link has been sent to your email address.,आपके ईमेल पते पर एक नया सत्यापन लिंक भेजा गया है।,تم إرسال رابط تحقق جديد إلى عنوان بريدك الإلكتروني.,Se ha enviado un nuevo enlace de verificación a su dirección de correo electrónico.,Un nouveau lien de vérification a été envoyé à votre adresse e-mail.
"Before proceeding, please check your email for a verification link.","Before proceeding, please check your email for a verification link.","आगे बढ़ने से पहले, कृपया सत्यापन लिंक के लिए अपना ईमेल जांचें।",قبل المتابعة، يرجى التحقق من بريدك الإلكتروني للحصول على رابط التحقق.,"Antes de continuar, consulte su correo electrónico para obtener un enlace de verificación.","Avant de continuer, veuillez vérifier votre courrier électronique pour un lien de vérification."
If you did not receive the email,If you did not receive the email,यदि आपको ईमेल प्राप्त नहीं हुआ,إذا لم تتلق البريد الإلكتروني,Si no recibiste el correo electrónico,Si vous n'avez pas reçu l'e-mail
click here to request another,click here to request another,दूसरे का अनुरोध करने के लिए यहां क्लिक करें,انقر هنا لطلب آخر,haga clic aquí para solicitar otro,cliquez ici pour en demander un autre
You are logged in!,You are logged in!,आप लॉग इन हैं!,لقد قمت بتسجيل الدخول!,¡Estás conectado!,Vous êtes connecté !
There was an error on row :row. :message,There was an error on row :row. :message,पंक्ति में एक त्रुटि थी:पंक्ति. :संदेश,حدث خطأ في الصف :row. :رسالة,Hubo un error en la fila: fila. :mensaje,Une erreur s'est produite sur la ligne :row. :message
appLAppName,AdRadio,एडरेडियो,راديو إعلاني,AnuncioRadio,AnnonceRadio
appLProgramSchedule,Program Schedule,कार्यक्रम सूची,جدول البرنامج,Horario del programa,Calendrier du programme
appLNotifications,Notifications,सूचनाएं,إشعارات,Notificaciones,Notifications
appLLiveOnYoutube,LIVE ON YOUTUBE,यूट्यूब पर लाइव,مباشر على اليوتيوب,EN VIVO EN YOUTUBE,EN DIRECT SUR YOUTUBE
appLShowTime,Show Time,शो टाइम,موعد العرض,Tiempo de la funcion,Afficher l'heure
appLNext,Next,अगला,التالي,Próximo,Suivant
appLShow,Show,दिखाओ,يعرض,Espectáculo,Montrer
appLVideoPlaylist,Video Playlist,वीडियो प्लेलिस्ट,قائمة تشغيل الفيديو,Lista de reproducción de vídeos,Liste de lecture vidéo
appLViewAll,View All,सभी को देखें,عرض الكل,Ver todo,Tout afficher
appLLiveText,LIVE,रहना,يعيش,VIVIR,EN DIRECT
appLOfflineText,OFFLINE,ऑफलाइन,غير متصل,DESCONECTADO,HORS LIGNE
appLNewsfeed,Newsfeed,समाचार फ़ीड,ملف الأخبار,suministro de noticias,Fil d'actualité
appLLiveStreaming,Live Streaming,सीधा आ रहा है,البث المباشر,Transmisión en vivo,Diffusion en direct
appLShowSchedule,Show Schedule,शेड्यूल दिखाएँ,عرض الجدول الزمني,Mostrar horario,Afficher le calendrier
appLUpdateProfile,Update Profile,प्रोफ़ाइल अपडेट करें,تحديث الملف الشخصي,Actualizar perfil,Mettre à jour le profil
appLGallery,Gallery,गैलरी,معرض,Galería,Galerie
appLTeam,Team,टीम,فريق,Equipo,Équipe
appLBlog,Blog,ब्लॉग,مدونة,Blog,Blogue
appLLanguage,Language,भाषा,لغة,Idioma,Langue
appLChangePassword,Change Password,पासवर्ड बदलें,تغيير كلمة المرور,Cambiar la contraseña,Changer le mot de passe
appLHelpCenter,Help Center,सहायता केंद्र,مركز المساعدة,Centro de ayuda,Centre d'aide
appLPrivacyAndPolicy,Privacy & Policy,गोपनीयता नीति,سياسة الخصوصية,Política de privacidad,Politique de confidentialité
appLAboutUs,About Us,हमारे बारे में,معلومات عنا,Sobre nosotros,À propos de nous
appLLogout,Logout,लॉग आउट,تسجيل الخروج,Cerrar sesión,Déconnexion
appLLogoutAlert,Logout ?,लॉग आउट ?,تسجيل الخروج ؟,¿Cerrar sesión?,Se déconnecter ?
appLAreYouSure,Are you sure about Logging out of the system? Then click Okay button,क्या आप सिस्टम से लॉग आउट करने के बारे में निश्चित हैं? फिर ओके बटन पर क्लिक करें,"هل أنت متأكد من تسجيل الخروج من النظام؟ ثم انقر فوق الزر ""موافق"".",¿Está seguro de cerrar sesión en el sistema? Luego haga clic en el botón Aceptar,Êtes-vous sûr de vous déconnecter du système ? Cliquez ensuite sur le bouton OK
appLConst cancel,Cancel,रद्द करना,يلغي,Cancelar,Annuler
appLEnterCountry,Enter Country,देश दर्ज करें,أدخل البلد,Ingrese el país,Entrez le pays
appLEnterCity,Enter City,शहर दर्ज करें,أدخل المدينة,Ingrese la ciudad,Entrez la ville
appLEnterState,Enter State,राज्य दर्ज करें,أدخل الولاية,Ingresar estado,Entrez l'état
appLFromGallery,From Gallery,गैलरी से,من المعرض,De la galería,De la galerie
appLFromCamera,From Camera,कैमरे से,من الكاميرا,Desde la cámara,Depuis la caméra
appLRegistrationTitle,Register for an Account Today,एक खाता के लिए आज ही पंजीकरण करें,سجل للحصول على حساب اليوم,Regístrese para obtener una cuenta hoy,Créez un compte aujourd'hui
appLRegistrationSubtitle,"Become a part of our community by registering for an account today. Enjoy a range of benefits and features tailored to meet your needs. Our registration page makes it easy to create your account, providing a seamless and user-friendly experience.","आज ही एक खाते के लिए पंजीकरण करके हमारे समुदाय का हिस्सा बनें। अपनी आवश्यकताओं को पूरा करने के लिए तैयार किए गए अनेक लाभों और सुविधाओं का आनंद लें। हमारा पंजीकरण पृष्ठ एक सहज और उपयोगकर्ता-अनुकूल अनुभव प्रदान करते हुए, आपका खाता बनाना आसान बनाता है।",كن جزءًا من مجتمعنا من خلال التسجيل للحصول على حساب اليوم. استمتع بمجموعة من المزايا والميزات المصممة خصيصًا لتلبية احتياجاتك. تسهل صفحة التسجيل الخاصة بنا إنشاء حسابك، مما يوفر تجربة سلسة وسهلة الاستخدام.,"Conviértase en parte de nuestra comunidad registrándose para obtener una cuenta hoy. Disfrute de una variedad de beneficios y características diseñadas para satisfacer sus necesidades. Nuestra página de registro facilita la creación de su cuenta, brindando una experiencia fluida y fácil de usar.","Devenez membre de notre communauté en créant un compte dès aujourd'hui. Bénéficiez d’une gamme d’avantages et de fonctionnalités adaptés à vos besoins. Notre page d'inscription facilite la création de votre compte, offrant une expérience transparente et conviviale."
appLEnterName,Enter Name,नाम दर्ज करें,أدخل الاسم,Introduzca el nombre,Entrez le nom
appLIHaveAgreedWith,I have agreed with,मैं इससे सहमत हूं,لقد اتفقت مع,he estado de acuerdo con,je suis d'accord avec
appLTermsOfUse,Terms Of Use & Privacy Policy,उपयोग की शर्ते प्राइवेसि पॉलिसी,شروط الاستخدام وسياسة الخصوصية,Términos de uso y política de privacidad,Conditions d'utilisation et politique de confidentialité
appLAlreadyHaveAnAccount,Already have an account?,क्या आपके पास पहले से एक खाता मौजूद है?,هل لديك حساب بالفعل؟,¿Ya tienes una cuenta?,Vous avez déjà un compte ?
appLPleaseAcceptTermsAndConditions,Please Accept Terms And Conditions,कृपया नियम एवं शर्तें स्वीकार करें,يرجى قبول الشروط والأحكام,Por favor acepte los términos y condiciones,Veuillez accepter les termes et conditions
appLLoginNow,Login Now,अभी लॉगिन करें,تسجيل الدخول الآن,Iniciar sesión ahora,Connectez-vous maintenant
appLEnterNewPassword,Enter New Password,नया पासवर्ड दर्ज करें,أدخل كلمة المرور الجديدة,Ingrese una nueva contraseña,Entrez un nouveau mot de passe
appLEnterConfirmPassword,Enter Confirm Password,पासवर्ड की पुष्टि करें दर्ज करें,أدخل تأكيد كلمة المرور,Ingrese Confirmar Contraseña,Entrez Confirmer le mot de passe
appLResetPasswordSubtitle,Now you are able to reset your passwrod. Please reset your password and try again.,अब आप अपना पासवर्ड रीसेट करने में सक्षम हैं। कृपया अपना पासवर्ड रीसेट करें और पुनः प्रयास करें।,أنت الآن قادر على إعادة تعيين كلمة المرور الخاصة بك. يرجى إعادة تعيين كلمة المرور الخاصة بك والمحاولة مرة أخرى.,Ahora puedes restablecer tu contraseña. Restablezca su contraseña e inténtelo de nuevo.,Vous pouvez maintenant réinitialiser votre mot de passe. Veuillez réinitialiser votre mot de passe et réessayer.
appLCongratulations,Congratulations,बधाई हो,تهانينا,Felicidades,Félicitations
appLLoginInformation,Log in and Stay Connected,लॉग इन करें और जुड़े रहें,تسجيل الدخول والبقاء على اتصال,Inicie sesión y manténgase conectado,Connectez-vous et restez connecté
appLLoginSubtitle,"Our secure login process ensures the confidentiality of your information. Log in today and stay connected to your music station, anytime and anywhere.",हमारी सुरक्षित लॉगिन प्रक्रिया आपकी जानकारी की गोपनीयता सुनिश्चित करती है। आज ही लॉग इन करें और किसी भी समय और कहीं भी अपने संगीत स्टेशन से जुड़े रहें।,تضمن عملية تسجيل الدخول الآمنة لدينا سرية معلوماتك. قم بتسجيل الدخول اليوم وابق على اتصال بمحطة الموسيقى الخاصة بك، في أي وقت وفي أي مكان.,"Nuestro proceso de inicio de sesión seguro garantiza la confidencialidad de su información. Inicie sesión hoy y manténgase conectado a su estación de música, en cualquier momento y en cualquier lugar.","Notre processus de connexion sécurisé garantit la confidentialité de vos informations. Connectez-vous aujourd'hui et restez connecté à votre station musicale, à tout moment et en tout lieu."
appLEnterEmailAddress,Enter Email Address,ईमेल पता दर्ज करें,أدخل عنوان البريد الإلكتروني,Ingrese la dirección de correo electrónico,Entrez l'adresse e-mail
appLEnterPassword,Enter Password,पास वर्ड दर्ज करें,أدخل كلمة المرور,Ingrese la contraseña,Entrez le mot de passe
appLForgotPassword,Forgot Password?,पासवर्ड भूल गए?,هل نسيت كلمة السر؟,¿Has olvidado tu contraseña?,Mot de passe oublié ?
appLDoNotHaveAnAccount,Dont have an account?,कोई खाता नहीं है?,ليس لديك حساب؟,¿No tienes una cuenta?,Vous n'avez pas de compte ?
appLForgotPasswordSubtitle,Take control of your account by resetting your password. Our password recovery page guides you through the necessary steps to securely reset your password.,अपना पासवर्ड रीसेट करके अपने खाते पर नियंत्रण रखें। हमारा पासवर्ड पुनर्प्राप्ति पृष्ठ आपका पासवर्ड सुरक्षित रूप से रीसेट करने के लिए आवश्यक चरणों में आपका मार्गदर्शन करता है।,السيطرة على حسابك عن طريق إعادة تعيين كلمة المرور الخاصة بك. ترشدك صفحة استعادة كلمة المرور الخاصة بنا إلى الخطوات اللازمة لإعادة تعيين كلمة المرور الخاصة بك بشكل آمن.,Tome el control de su cuenta restableciendo su contraseña. Nuestra página de recuperación de contraseña lo guía a través de los pasos necesarios para restablecer su contraseña de forma segura.,Prenez le contrôle de votre compte en réinitialisant votre mot de passe. Notre page de récupération de mot de passe vous guide à travers les étapes nécessaires pour réinitialiser votre mot de passe en toute sécurité.
appLContinueAsGuestUser,Continue as a Guest User,अतिथि उपयोगकर्ता के रूप में जारी रखें,الاستمرار كمستخدم ضيف,Continuar como usuario invitado,Continuer en tant qu'utilisateur invité
appLOTPVerificationSubtitle,We sent a 6-digit code to your email. Please check your mail inbox or spam.,हमने आपके ईमेल पर 6 अंकों का कोड भेजा है। कृपया अपना मेल इनबॉक्स या स्पैम जांचें।,لقد أرسلنا رمزًا مكونًا من 6 أرقام إلى بريدك الإلكتروني. يرجى التحقق من صندوق البريد الوارد أو البريد العشوائي.,Le enviamos un código de 6 dígitos a su correo electrónico. Por favor revisa tu bandeja de entrada de correo o spam.,Nous avons envoyé un code à 6 chiffres à votre adresse e-mail. Veuillez vérifier votre boîte de réception ou vos spams.
appLPleaseFillOutTheField,Please Fill Out The Field,कृपया फ़ील्ड भरें,يرجى ملء الحقل,Por favor complete el campo,Veuillez remplir le champ
appLOkay,Okay,ठीक है,تمام,Bueno,D'accord
appLBack,Back,पीछे,خلف,Atrás,Dos
appLLogin,Login,लॉग इन करें,تسجيل الدخول,Acceso,Se connecter
appLRegister,Register,पंजीकरण करवाना,يسجل,Registro,Registre
appLRegisterNow,Register Now,अभी पंजीकरण करें,سجل الآن,Regístrese ahora,Inscrivez-vous maintenant
appLPassword,Password,पासवर्ड,كلمة المرور,Contraseña,Mot de passe
appLEmailAddress,Email Address,मेल पता,عنوان البريد الإلكتروني,Dirección de correo electrónico,Adresse email
appLSubmit,Submit,जमा करना,يُقدِّم,Entregar,Soumettre
appLOTPVerification,OTP Verification,ओटीपी सत्यापन,التحقق من OTP,Verificación OTP,Vérification OTP
appLResend,Resend,पुन: भेजें,إعادة الإرسال,Reenviar,Renvoyer
appLNewPassword,New Password,नया पासवर्ड,كلمة المرور الجديدة,Nueva contraseña,Nouveau mot de passe
appLConfirmPassword,Confirm Password,पासवर्ड की पुष्टि कीजिये,تأكيد كلمة المرور,confirmar Contraseña,Confirmez le mot de passe
appLEnter,Enter,प्रवेश करना,يدخل,Ingresar,Entrer
appLResetPassword,Reset Password,पासवर्ड रीसेट,إعادة تعيين كلمة المرور,Restablecer contraseña,Réinitialiser le mot de passe
appLFirstName,First Name,पहला नाम,الاسم الأول,Nombre de pila,Prénom
appLLastName,Last Name,उपनाम,اسم العائلة,Apellido,Nom de famille
appLCountry,Country,देश,دولة,País,Pays
appLState,State,राज्य,ولاية,Estado,État
appLCity,City,शहर,مدينة,Ciudad,Ville
appLZipCode,Zip Code,ज़िप कोड,الرمز البريدي,Código postal,Code postal
appLOldPassword,Old Password,पुराना पासवर्ड,كلمة المرور القديمة,Contraseña anterior,Ancien mot de passe
appLNoDataFound,No Notification Found,कोई सूचना नहीं मिली,لم يتم العثور على أي إشعار,No se encontró ninguna notificación,Aucune notification trouvée
appLCancel,Cancel,रद्द करना,يلغي,Cancelar,Annuler
appLAlert,Alert,चेतावनी,يُحذًِر,Alerta,Alerte
appLDismiss,Dismiss,नकार देना,رفض,Despedir,Rejeter
appLSuccess,Success,सफलता,نجاح,Éxito,Succès
Enable,Enable,सक्षम,يُمكَِن,Permitir,Activer
Disable,Disable,अक्षम करना,إبطال,Desactivar,Désactiver
Activated,Activated,सक्रिय,تفعيلها,Activado,Activé
Deactivated,Deactivated,निष्क्रिय,معطل,Desactivado,Désactivé
Download The AdRadio App Today,Download The AdRadio App Today,आज ही AdRadio ऐप डाउनलोड करें,قم بتنزيل تطبيق AdRadio اليوم,Descargue la aplicación AdRadio hoy,Téléchargez l'application AdRadio aujourd'hui
Are you sure to,Are you sure to,क्या आप निश्चित हैं,هل أنت متأكد من ذلك,¿Estás seguro de,Êtes-vous sûr de
Remove,Remove,निकालना,يزيل,Eliminar,Retirer
Are you sure to delete ?,Are you sure to delete ?,क्या वाकई हटाना है ?,هل أنت متأكد من الحذف؟,¿Estás seguro de eliminar?,Etes-vous sûr de supprimer ?
Your account deleted successfully!,Your account deleted successfully!,आपका खाता सफलतापूर्वक हटा दिया गया!,تم حذف حسابك بنجاح!,¡Tu cuenta se eliminó exitosamente!,Votre compte a été supprimé avec succès !
Delete,Delete,मिटाना,يمسح,Borrar,Supprimer
Are you sure to delete your account?,Are you sure to delete your account?,क्या आप निश्चित रूप से अपना खाता हटाना चाहते हैं?,هل أنت متأكد من حذف حسابك؟,¿Estás seguro de eliminar tu cuenta?,Êtes-vous sûr de supprimer votre compte ?
If you do not think you will use,If you do not think you will use,अगर आपको नहीं लगता तो आप इस्तेमाल करेंगे,إذا كنت لا تعتقد أنك سوف تستخدم,Si no crees que lo usarás,Si vous ne pensez pas utiliser
"again and like your account deleted. Keep in mind you will not be able to reactivate your account or retrieve any of the content or information you have added. If you would still like your account deleted, click “Delete Account”.?","again and like your account deleted. Keep in mind you will not be able to reactivate your account or retrieve any of the content or information you have added. If you would still like your account deleted, click “Delete Account”.?","फिर से और जैसे आपका खाता हटा दिया गया है। ध्यान रखें कि आप अपने खाते को पुनः सक्रिय नहीं कर पाएंगे या आपके द्वारा जोड़ी गई किसी भी सामग्री या जानकारी को पुनः प्राप्त नहीं कर पाएंगे। यदि आप अभी भी अपना खाता हटाना चाहते हैं, तो ""खाता हटाएं"" पर क्लिक करें।","مرة أخرى ومثل حذف حسابك. ضع في اعتبارك أنك لن تتمكن من إعادة تنشيط حسابك أو استرداد أي من المحتوى أو المعلومات التي أضفتها. إذا كنت لا تزال ترغب في حذف حسابك، فانقر فوق ""حذف الحساب"".","nuevamente y dale me gusta a tu cuenta eliminada. Tenga en cuenta que no podrá reactivar su cuenta ni recuperar el contenido o la información que haya agregado. Si aún desea eliminar su cuenta, haga clic en ""Eliminar cuenta"".","encore et comme votre compte supprimé. Gardez à l’esprit que vous ne pourrez pas réactiver votre compte ni récupérer le contenu ou les informations que vous avez ajoutés. Si vous souhaitez toujours supprimer votre compte, cliquez sur « Supprimer le compte ». ?"
appLDeleteAlert,Do you want to delete your account?,क्या आप अपना खाता हटाना चाहते हैं?,هل تريد حذف حسابك؟,¿Quieres eliminar tu cuenta?,Voulez-vous supprimer votre compte ?
appLDeleteProfile ,Delete Profile,प्रोफ़ाइल हटाएं,حذف الملف الشخصي,Eliminar perfil,Supprimer le profil
Button Name(01),Button Name(01),बटन का नाम(01),اسم الزر(01),Nombre del botón(01),Nom du bouton (01)
Button Link(01),Button Link(01),बटन लिंक(01),رابط الزر(01),Enlace de botón(01),Lien du bouton (01)
Button Name(02),Button Name(02),बटन का नाम(02),اسم الزر(02),Nombre del botón(02),Nom du bouton (02)
Button Link(02),Button Link(02),बटन लिंक(02),رابط الزر(02),Enlace de botón(02),Lien de bouton (02)
App Menu Section,App Menu Section,ऐप मेनू अनुभाग,قسم قائمة التطبيقات,Sección del menú de aplicaciones,Section du menu de l'application
Add Menu,Add Menu,मेनू जोड़ें,إضافة القائمة,Agregar menú,Ajouter un menu
Edit Menu,Edit Menu,मेनू संपादित करें,تحرير القائمة,Editar menú,Modifier le menu
App Menu Data fetched successfully!,App Menu Data fetched successfully!,ऐप मेनू डेटा सफलतापूर्वक प्राप्त हुआ!,تم جلب بيانات قائمة التطبيق بنجاح!,¡Los datos del menú de la aplicación se obtuvieron correctamente!,Données du menu de l'application récupérées avec succès !
Admob Status,Admob Status,एडमोब स्थिति,حالة ادموب,Estado de administración,Statut AdMob
Google Service,Google Service,गूगल सेवा,خدمة جوجل,Servicio de Google,Service Google
Setup AdMob,Setup AdMob,एडमोब सेटअप करें,إعداد AdMob,Configurar AdMob,Configurer AdMob
Admob Credentials,Admob Credentials,एडमोब क्रेडेंशियल्स,بيانات اعتماد Admob,Credenciales Admob,Identifiants Admob
Android App ID,Android App ID,एंड्रॉइड ऐप आईडी,معرف تطبيق أندرويد,ID de aplicación de Android,Identifiant de l'application Android
iOS App ID,iOS App ID,आईओएस ऐप आईडी,معرف تطبيق iOS,ID de aplicación iOS,Identifiant de l'application iOS
Android Banner AdUnit ID,Android Banner AdUnit ID,एंड्रॉइड बैनर एडयूनिट आईडी,معرف وحدة AdUnit لشعار Android,ID del bloque de anuncios de banner de Android,Identifiant de l'unité publicitaire de la bannière Android
iOS Banner AdUnit ID,iOS Banner AdUnit ID,आईओएस बैनर एडयूनिट आईडी,معرف الوحدة الإعلانية لشعار iOS,ID de bloque de anuncios de banner de iOS,Identifiant de l'unité publicitaire de la bannière iOS
Android Interstitial AdUnit ID,Android Interstitial AdUnit ID,एंड्रॉइड इंटरस्टिशियल एडयूनिट आईडी,معرف الوحدة الإعلانية الخلالية لنظام Android,ID de bloque de anuncios intersticial de Android,ID d'unité d'annonce interstitielle Android
iOS Interstitial AdUnit ID,iOS Interstitial AdUnit ID,आईओएस इंटरस्टिशियल एडयूनिट आईडी,معرف الوحدة الإعلانية الخلالية لنظام التشغيل iOS,ID de unidad de anuncio intersticial de iOS,ID d'unité publicitaire interstitielle iOS
Admob Credentials not found!,Admob Credentials not found!,एडमोब क्रेडेंशियल नहीं मिले!,لم يتم العثور على بيانات اعتماد Admob!,¡No se encontraron las credenciales de Admob!,Informations d'identification Admob introuvables !
Admob credentials updated successfully!,Admob credentials updated successfully!,Admob क्रेडेंशियल सफलतापूर्वक अपडेट किया गया!,تم تحديث بيانات اعتماد Admob بنجاح!,¡Las credenciales de Admob se actualizaron correctamente!,Les identifiants Admob ont été mis à jour avec succès !
Admob Credentilas fetched successfully!,Admob Credentilas fetched successfully!,एडमोब क्रेडेंटिलास सफलतापूर्वक लाया गया!,تم جلب Admob Credentilas بنجاح!,¡Admob Credentilas se obtuvo con éxito!,Admob Credentilas récupérés avec succès !
System Maintenance,System Maintenance,प्रणाली रखरखाव,صيانة النظام,Mantenimiento del sistema,Entretien du système
Enhancing Your Experience – Site Under Maintenance,Enhancing Your Experience – Site Under Maintenance,आपके अनुभव को बेहतर बनाना - साइट रखरखाव के अधीन है,تعزيز تجربتك – الموقع تحت الصيانة,Mejorando su experiencia – Sitio en mantenimiento,Améliorer votre expérience – Site en maintenance
"Our website is down for upgrades and will be back shortly. If you need assistance, please email us at support@adradio.com or message us on WhatsApp at +1234567890. Thank you for your patience!","Our website is down for upgrades and will be back shortly. If you need assistance, please email us at support@adradio.com or message us on WhatsApp at +1234567890. Thank you for your patience!","हमारी वेबसाइट अपग्रेड के लिए बंद है और शीघ्र ही वापस आ जाएगी। यदि आपको सहायता की आवश्यकता है, तो कृपया हमें support@adradio.com पर ईमेल करें या हमें +1234567890 पर व्हाट्सएप पर संदेश भेजें। आपके धैर्य के लिए धन्यवाद!",موقعنا معطل بسبب الترقيات وسيعود قريبًا. إذا كنت بحاجة إلى المساعدة، يرجى مراسلتنا عبر البريد الإلكتروني على support@adradio.com أو مراسلتنا على WhatsApp على +1234567890. شكرا لك على صبركم!,"Nuestro sitio web está inactivo por actualizaciones y volverá en breve. Si necesita ayuda, envíenos un correo electrónico a support@adradio.com o envíenos un mensaje por WhatsApp al +1234567890. ¡Gracias por tu paciencia!","Notre site Web est en cours de mise à jour et sera de retour sous peu. Si vous avez besoin d'aide, veuillez nous envoyer un e-mail à support@adradio.com ou nous envoyer un message sur WhatsApp au +1234567890. Merci pour votre patience !"
Setup SEO,Setup SEO,सेटअप एसईओ,إعداد كبار المسئولين الاقتصاديين,Configurar SEO,Configurer le référencement
SEO information updated successfully!,SEO information updated successfully!,एसईओ जानकारी सफलतापूर्वक अपडेट की गई!,تم تحديث معلومات تحسين محركات البحث (SEO) بنجاح!,¡Información SEO actualizada con éxito!,Informations SEO mises à jour avec succès !
Social Description,Social Description,सामाजिक विवरण,الوصف الاجتماعي,Descripción social,Description sociale
Social Title,Social Title,सामाजिक शीर्षक,العنوان الاجتماعي,Título social,Titre social
Item About,Item About,आइटम के बारे में,البند حول,Artículo Acerca de,Article À propos
Icon Image,Icon Image,चिह्न छवि,صورة الرمز,Imagen del icono,Image d'icône
Team Details,Team Details,टीम विवरण,تفاصيل الفريق,Detalles del equipo,Détails de l'équipe
Schedule Details,Schedule Details,अनुसूची विवरण,تفاصيل الجدول الزمني,Detalles del horario,Détails du calendrier
No social links available,No social links available,कोई सामाजिक लिंक उपलब्ध नहीं है,لا توجد روابط اجتماعية متاحة,No hay enlaces sociales disponibles,Aucun lien social disponible
appLJoinChat,Join Chat,चैट में शामिल हों,انضم إلى الدردشة,Unirse al chat,Rejoindre le chat
appLProfile,Profile,प्रोफ़ाइल,حساب تعريفي,Perfil,Profil
appLSchedule,Schedule,अनुसूची,جدول,Cronograma,Calendrier
appLStartTime,Start Time,समय शुरू,وقت البدء,Hora de inicio,Heure de début
appLEndTime,End Time,अंत समय,وقت النهاية,Hora de finalización,Heure de fin
